cycle,length(butterfly),nb_reproductions,nb_deaths_predation,nb_deaths_natural,nb_deaths_total,nb_black,nb_white,nb_gray,nb_BB,nb_WW,nb_BW,nb_allele_B,nb_allele_W
188,600,8,0,7,7,234,100,258,237,101,262,736,464
189,600,6,0,6,6,235,98,261,236,99,265,737,463
190,600,3,0,3,3,235,99,263,238,99,263,739,461
191,600,2,0,2,2,238,99,261,239,100,261,739,461
192,600,3,0,3,3,238,100,259,238,100,262,738,462
193,600,8,0,8,8,237,96,259,241,96,263,745,455
194,599,8,0,9,9,236,94,261,240,95,264,744,454
195,600,9,0,8,8,236,94,261,239,96,265,743,457
196,600,4,0,4,4,237,95,264,240,95,265,745,455
197,600,8,0,8,8,237,95,260,240,98,262,742,458
198,600,7,0,7,7,237,98,258,239,100,261,739,461
199,600,6,0,6,6,237,100,257,241,102,257,739,461
200,600,6,0,6,6,239,99,256,242,101,257,741,459
201,600,5,0,5,5,240,99,256,241,100,259,741,459
202,600,4,0,4,4,240,99,257,241,100,259,741,459
203,599,3,1,3,4,239,100,257,239,102,258,736,462
204,599,7,0,7,7,237,99,256,238,99,262,738,460
205,599,6,1,5,6,237,98,258,240,99,260,740,458
206,600,5,0,4,4,240,97,258,243,97,260,746,454
207,600,8,0,8,8,240,97,255,242,97,261,745,455
208,600,4,0,4,4,240,97,259,240,98,262,742,458
209,600,5,0,5,5,238,98,259,242,98,260,744,456
210,599,6,1,6,7,239,97,257,242,99,258,742,456
211,600,11,0,10,10,239,99,251,245,100,255,745,455
212,599,6,1,6,7,241,100,252,244,101,254,742,456
213,598,5,1,5,6,241,99,253,244,101,253,741,455
214,600,9,0,7,7,241,99,251,245,101,254,744,456
215,600,7,0,7,7,242,98,253,247,99,254,748,452
216,599,5,1,5,6,242,98,254,243,98,258,744,454
217,600,3,0,2,2,242,97,258,243,97,260,746,454
218,600,4,0,4,4,241,97,258,243,98,259,745,455
219,600,5,0,5,5,240,98,257,241,99,260,742,458
220,600,4,0,4,4,240,97,259,242,97,261,745,455
221,600,6,0,6,6,239,97,258,241,97,262,744,456
222,600,4,0,4,4,241,97,258,242,97,261,745,455
223,600,3,0,3,3,240,97,260,240,97,263,743,457
224,599,7,1,7,8,239,94,259,242,94,263,747,451
225,600,3,0,2,2,240,94,263,242,95,263,747,453
226,600,5,0,5,5,241,95,259,244,95,261,749,451
227,599,7,1,7,8,243,92,257,245,94,260,750,448
228,599,5,1,4,5,244,94,256,245,94,260,750,448
229,600,5,0,4,4,242,94,259,245,95,260,750,450
230,600,5,0,5,5,243,94,258,244,95,261,749,451
231,599,4,1,4,5,243,95,257,245,95,259,749,449
232,599,10,1,9,10,242,93,254,245,95,259,749,449
233,600,11,0,10,10,242,93,254,250,93,257,757,443
234,599,5,1,5,6,247,93,254,248,94,257,753,445
235,600,6,0,5,5,245,94,255,245,96,259,749,451
236,599,5,1,5,6,244,95,255,246,96,257,749,449
237,600,4,0,3,3,245,96,255,248,96,256,752,448
238,600,5,0,5,5,244,96,255,246,96,258,750,450
239,600,9,0,9,9,241,94,256,245,94,261,751,449
240,600,6,0,6,6,242,94,258,245,95,260,750,450
241,600,8,0,8,8,244,93,255,246,94,260,752,448
242,600,6,0,6,6,245,93,256,248,93,259,755,445
243,599,4,1,4,5,244,92,259,246,92,261,753,445
244,600,9,0,8,8,246,89,256,251,91,258,760,440
245,600,5,0,5,5,248,91,256,249,91,260,758,442
246,599,6,1,6,7,247,90,256,250,90,259,759,439
247,599,11,1,10,11,244,89,255,249,90,260,758,440
248,600,6,0,5,5,246,90,258,247,90,263,757,443
249,599,5,0,6,6,247,89,258,248,90,261,757,441
250,599,6,1,5,6,245,90,258,247,90,262,756,442
251,599,5,1,4,5,247,89,258,249,89,261,759,439
252,599,5,1,4,5,248,89,257,250,89,260,760,438
253,600,7,0,6,6,248,89,256,251,91,258,760,440
254,599,9,1,9,10,250,88,253,253,88,258,764,434
255,600,12,0,11,11,246,87,255,252,89,259,763,437
256,599,6,0,7,7,249,88,256,251,89,259,761,437
257,599,4,1,3,4,247,89,259,249,89,261,759,439
258,600,6,0,5,5,248,89,257,251,89,260,762,438
259,600,2,0,2,2,250,89,259,252,89,259,763,437
260,599,6,1,6,7,249,89,255,252,89,258,762,436
261,600,3,0,2,2,251,89,257,252,89,259,763,437
262,600,5,0,5,5,251,89,255,252,90,258,762,438
263,599,5,1,5,6,248,90,256,250,90,259,759,439
264,599,7,1,6,7,245,89,258,246,90,263,755,443
265,600,4,0,3,3,246,88,262,247,88,265,759,441
266,600,6,0,6,6,244,87,263,247,89,264,758,442
267,600,4,0,4,4,244,89,263,246,90,264,756,444
268,600,6,0,6,6,243,88,263,248,88,264,760,440
269,600,7,0,7,7,246,86,261,249,86,265,763,437
270,600,4,0,4,4,247,86,263,249,86,265,763,437
271,600,6,0,6,6,247,85,262,250,85,265,765,435
272,600,6,0,6,6,245,85,264,248,85,267,763,437
273,599,6,1,6,7,245,85,263,247,85,267,761,437
274,600,8,0,7,7,242,84,266,246,85,269,761,439
275,598,6,2,6,8,242,84,266,245,86,267,757,439
276,598,10,0,10,10,241,85,262,245,87,266,756,440
277,600,9,0,7,7,244,85,262,250,85,265,765,435
278,600,5,0,5,5,248,84,263,253,84,263,769,431
279,600,8,0,8,8,248,84,260,252,86,262,766,434
280,600,5,0,5,5,251,84,260,254,85,261,769,431
281,600,3,0,3,3,253,85,259,255,85,260,770,430
282,600,5,0,5,5,252,84,259,255,85,260,770,430
283,599,7,1,7,8,251,85,256,253,87,259,765,433
284,600,7,0,6,6,250,87,256,254,88,258,766,434
285,600,5,0,5,5,252,88,255,255,88,257,767,433
